line_id,hazard_class,overlap_km
325,Moderate,12.744665768452766
1056,High,12.712135097188435
2152,NonWildland,12.678168969648206
638,NonWildland,12.673575666669581
1218,High,12.623357822888194
484,Very High,12.620775310930613
266,High,12.616282319679794
288,Very High,12.612511319188625
1378,High,12.58455842741074
996,NonWildland,12.568188673584409
1412,Very High,12.550975778026359
1272,High,12.5446298173858
1888,NonWildland,12.524644606885502
1875,Very High,12.517018301443432
1934,Very High,12.514049592172352
1466,NonWildland,12.501998416587218
1946,Moderate,12.482055924742442
2148,NonWildland,12.465789928269244
1262,Very High,12.462924060926863
1267,NonWildland,12.424908789951463
1945,Moderate,12.42282814438916
821,NonWildland,12.391177786385574
1739,NonWildland,12.389252557122726
1954,High,12.372457678220398
2074,Moderate,12.362171495114794
744,NonWildland,12.353500848283248
1485,NonWildland,12.343411920307751
1924,High,12.333242814310656
1317,NonWildland,12.330178175949861
738,High,12.322258633095167
2011,High,12.239106737300615
1563,NonWildland,12.227246805708722
180,NonWildland,12.216414545431022
963,High,12.204507945730569
25,High,12.198916838802933
1787,NonWildland,12.164603855630418
153,NonWildland,12.108928378961943
2010,High,12.099869375181457
1491,Very High,12.092869532344812
1999,Moderate,12.079163683310487
725,Moderate,12.07895535114621
630,Moderate,12.078613436157019
1486,NonWildland,12.073890145702924
861,NonWildland,12.053158356243673
1651,NonWildland,12.037019920054275
447,NonWildland,12.004766657070746
1493,Very High,11.979946588686715
24,High,11.944580103407107
1583,Very High,11.934729110897209
1062,NonWildland,11.930969235594556
1820,High,11.852518494736348
1346,NonWildland,11.851969899841716
1638,NonWildland,11.849300179105109
1282,NonWildland,11.831464991987854
432,Very High,11.826624938152031
1479,Very High,11.808271800206855
841,NonWildland,11.798156625437915
1012,High,11.768949856056727
1239,Very High,11.766946098953897
1763,NonWildland,11.754174269544235
1666,NonWildland,11.746043135079919
1897,NonWildland,11.716503303194047
2097,Very High,11.714838935951123
1338,Very High,11.713162340468061
1674,Very High,11.69883640554396
712,Moderate,11.69437297078095
379,Very High,11.689510289981499
883,NonWildland,11.688589005561271
757,High,11.683851160190596
1687,High,11.681551372512683
935,Very High,11.680776699047065
1361,NonWildland,11.656074380105963
1048,High,11.633944456932669
2113,Very High,11.62349268574937
463,NonWildland,11.568520959958665
2098,Very High,11.563492283329127
2110,Very High,11.548185582495318
316,NonWildland,11.524446971149857
1998,Moderate,11.520192724524604
437,High,11.510134149220976
925,Moderate,11.496908696725669
1126,NonWildland,11.49574339104779
1274,NonWildland,11.48115635263512
381,High,11.4775282178283
394,NonWildland,11.472173115926148
1465,NonWildland,11.467528527478684
1856,NonWildland,11.458640880219086
942,High,11.45745537954449
2075,Moderate,11.447190988484172
88,High,11.430906073784966
2111,Very High,11.423222730865902
770,NonWildland,11.415477037855696
2150,Moderate,11.414837938838259
1707,NonWildland,11.408586163722939
750,Very High,11.402270283311179
1174,NonWildland,11.392327294054418
19,High,11.388076054572872
288,NonWildland,11.360670498315297
887,NonWildland,11.308324805597481
119,NonWildland,11.30338154381474
521,High,11.297026040289197
864,Very High,11.291402274062948
1050,NonWildland,11.281496133238855
2044,Very High,11.274324443392224
1961,High,11.257975204670473
1565,NonWildland,11.254797286393156
328,NonWildland,11.169559903410677
693,Very High,11.152552584315588
1719,Very High,11.14668090166499
701,NonWildland,11.125145105651455
1255,NonWildland,11.11626344955269
452,NonWildland,11.115969312329296
1515,Very High,11.112901944557452
534,Very High,11.112090114029039
1557,NonWildland,11.105606695052767
1765,NonWildland,11.08912230094484
1559,Very High,11.089056526284908
504,Very High,11.082558795586532
1269,High,11.082094320197866
658,NonWildland,11.080323839930797
769,High,11.078715566199628
843,Very High,11.039452919667106
896,NonWildland,11.034353857225083
2070,Moderate,11.03125459555143
779,NonWildland,11.02539743868987
1430,Very High,11.019407050106162
1252,NonWildland,11.012832104900777
282,Very High,10.995868822647541
1741,NonWildland,10.994084702803816
1811,Moderate,10.9893775387073
1541,Very High,10.985076964160266
1244,Very High,10.940446110226217
1991,Moderate,10.938599470362911
325,Moderate,10.936769420500132
275,Moderate,10.909938299738966
232,NonWildland,10.902767505752013
1564,High,10.889975225744413
1065,NonWildland,10.867657942189785
32,Moderate,10.82678533292459
1419,NonWildland,10.823500044509117
533,NonWildland,10.81553768516939
1013,Moderate,10.797453804685327
2071,Moderate,10.794940716023536
1440,NonWildland,10.76189907478253
637,Very High,10.751479841595412
1453,High,10.751476059500469
2163,NonWildland,10.741067011382507
2078,Moderate,10.676703110408061
2015,Moderate,10.675404874045471
1701,Moderate,10.659260231841579
776,NonWildland,10.658107342695956
803,Moderate,10.651773140486915
972,Moderate,10.636026855394302
1190,High,10.62109635945237
872,Very High,10.618968434433516
1899,NonWildland,10.616014820992426
1326,NonWildland,10.615433480104127
1457,NonWildland,10.614169656069507
1310,NonWildland,10.600301859133268
2012,Moderate,10.594526907515762
1962,Moderate,10.592600843258177
789,NonWildland,10.591086292053417
1718,Very High,10.577475849185536
1939,High,10.5602795670046
146,NonWildland,10.5412886719456
745,NonWildland,10.499210800258409
1925,Moderate,10.483310101018226
1364,NonWildland,10.476287512445031
1055,High,10.468112164547918
396,Moderate,10.46132610756574
526,NonWildland,10.458763472793464
1022,High,10.456097804854219
986,Very High,10.446230907956288
1436,NonWildland,10.444981676695113
1954,Very High,10.40612774434375
1598,Very High,10.395840502310568
1348,NonWildland,10.389707770853917
253,NonWildland,10.371122456567143
922,NonWildland,10.367686383630362
1696,NonWildland,10.347080958478095
2035,Very High,10.33815392635556
1539,Very High,10.337631476691648
1204,Very High,10.333900250330549
1340,Moderate,10.32272664955195
1929,Very High,10.322559655221639
301,NonWildland,10.30655989901776
114,NonWildland,10.30258886106218
1042,High,10.28449986165868
1615,High,10.260288518065385
1042,High,10.252375967646644
1237,Moderate,10.227127074223008
1185,Very High,10.216852263226736
1829,NonWildland,10.214158433476639
1924,Very High,10.203476827870826
1940,High,10.200212658159014
1388,NonWildland,10.192502152270958
2032,High,10.191496659951579
2067,Very High,10.18890374026136
1924,Very High,10.180059516294108
1276,Very High,10.168470280201403
1930,Very High,10.165842307444125
1777,NonWildland,10.161133755921123
847,NonWildland,10.160073869993418
2037,Very High,10.146666587583919
25,Very High,10.146247743195753
1932,Very High,10.13386794421891
1954,Very High,10.125967835442601
1020,NonWildland,10.123754083537952
893,NonWildland,10.121977348574518
771,NonWildland,10.118291818531091
1116,NonWildland,10.082018904239167
2068,Very High,10.08095848589413
482,NonWildland,10.075728494346334
393,Very High,10.074173079211276
1069,NonWildland,10.060943061464013
529,NonWildland,10.057952102372608
2145,Moderate,10.048665376038505
199,High,10.048005447113805
